company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Discovery Bit,2020-11-11,https://www.discoverybit.com/,"Houston, Texas, United States","Information Technology, Internet Services","Information Services, Internet",2465758.0,"Discoverybit is a news platform for discovering summarized, unique, and interesting facts and opinions. Plus, users can explore success tools, the job board, places, news, and stories.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,80264,False,False
Rhia Ventures,2018-01-01,https://rhiaventures.org,"Bellerose, New York, United States",Health Care,Health Care,206897.0,Rhia Ventures invests in reproductive healthcare solutions that empower women.,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,22663,False,False
Nutraskin,2018-01-01,https://www.nutraskinusa.com,"Norcross, Georgia, United States","Consumer Goods, Health Care, Manufacturing","Consumer Goods, Health Care, Manufacturing, Personal Health",1495849.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,62747,False,False
Brand Overflow,2019-03-23,https://www.brandoverflow.com,"Newark, Delaware, United States","Advertising, Data and Analytics, Design, Internet Services, Sales and Marketing, Software","Affiliate Marketing, Analytics, Brand Marketing, Digital Marketing, Enterprise Software, Market Research, Marketing, Marketing Automation, SEO, Software",310730.0,Marketing analytics platform that offers insights into a business' marketing performance. Big data insights for SMEs and Enterprise.,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,29353,False,False
CareZooming,2018-01-01,https://www.carezooming.com/,"Boston, Massachusetts, United States",Health Care,"Health Care, Hospital, Medical",2399860.0,CareZooming provides a means to spread healthcare improvement knowledge and build community. They join in lowering the barriers to implementing innovations in care delivery.,1-10,1.0,,2019-05-15,,Non-equity Assistance,,1.0,1-10,Private,,,,,,3,2018,79746,False,False
Kanesville Capital,2018-01-01,http://www.kanesvillecapital.com/,"Arlington, Texas, United States",Financial Services,"Finance, Financial Services, Personal Finance",1749227.0,"Kanesville Capital is a real estate company that specializes in commercial real estate, due diligence, and advisory services. Its services focus on finance, project management, and operations services for banking, healthcare, restaurant, and private equity clients. The company was founded in 2018 and headquartered in Arlington, Texas.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,67083,False,False
ProWriters,2019-01-01,https://www.pro-writers.org,"Great Bend, Kansas, United States","Education, Media and Entertainment","Content, Education, Language Learning",1848899.0,"ProWriters provides essay writing and editing services. Their services include article writing, research paper,  literature review, resume writing, paraphrasing, content writing, social sciences, logo design, science question, capstone projects, book reviews, scholarship essays, and PowerPoint presentations. They address inquiries through phone calls and emails.",51-100,,,,,,,,51-100,Private,,,,,,6,2019,69756,False,False
GAMODO,2023-01-31,https://gamodo.com,"Santa Monica, California, United States","Commerce and Shopping, Community and Lifestyle, Media and Entertainment, Other, Software","Communities, Digital Media, E-Commerce, Software, Subscription Service",1103271.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2023,54206,False,False
Froztech,2019-02-04,https://froztech.com,"Miami, Florida, United States",Software,Software,1271756.0,"Froztech is a web, software & a complete digital agency. Need the best digital solution? We offer complete web design, development & SEO solutions in USA",51-100,,,,,,,,51-100,Private,,,0.0,1.0,,6,2019,57630,False,False
Homeless are Humans,2021-01-01,https://www.homelessarehumans.org,"Austin, Texas, United States","Community and Lifestyle, Other, Social Impact","Charity, Communities, Non Profit",2893510.0,"Homeless are Humans promotes health equity and population health. They provide social equity, build a substantial focus on health, empowerment, and integrality while eradicating social injustice. They provides community programs such as housing, education, job training, counseling, rehabilitation, and crisis intervention.",11-50,,,,,,,,11-50,Private,,,,,,6,2021,87745,False,False
Build Talent,2020-01-01,https://buildtalent.io/,"San Francisco, California, United States","Administrative Services, Professional Services","Human Resources, Recruiting, Staffing Agency",380747.0,"Build Talent is a staffing firm that delivers recruitment, staffing and human resource services.",1-10,,M&A,,,,,,1-10,Private,,,,,,5,2020,32982,False,False
Evolve Hydrogen,2020-01-01,https://evolvehydrogen.com,"East Northport, New York, United States","Energy, Manufacturing, Natural Resources, Sustainability","CleanTech, Manufacturing, Renewable Energy, Water",347177.0,"Evolve Hydrogen develops a hydrogen electrolysis solution designed to extract hydrogen from natural water sources. The company prioritizes affordability, reliability, and safety to develop green hydrogen solutions Evolve's electrolyzer can be locally mass-produced, is scalable, and polymer-based, with the convenience of using any water source. It can use groundwater, tap water, and even seawater, without desalination. Evolve's hydrogen technology solves energy inequity, industrial decarbonization, and job creation issues.",11-50,,,,,,,2.0,11-50,Private,,,,,,6,2020,31345,False,False
TS Imagine,2021-01-01,https://tsimagine.com/,"New York, New York, United States","Information Technology, Internet Services, Software","Cloud Management, Software",154065.0,TS Imagine is a cloud-based end-to-end trading and portfolio management software platform for the capital markets and investment management industry.,251-500,,,,,,,1.0,251-500,Private,,,,,,6,2021,18600,False,False
CRAFT,2018-02-01,https://craftplatform.io,"Dallas, Texas, United States","Energy, Software, Sustainability","CleanTech, Energy Management, Software",1420320.0,,1-10,,M&A,,,,,,1-10,Private,,,,,,5,2018,61042,False,False
Unlimited Labor Solutions,2021-01-01,http://www.unlimitedlabor.net,"Dallas, Texas, United States",Administrative Services,Human Resources,1509434.0,"Unlimited Labor Solutions Helps You Build an Inspired Workforce that Grows With You. They are A Partner You Can Trust with a Proven, Understandable Process for Company-Sponsored US Green Cards.",1-10,,,,,,,,1-10,Private,,,,,,6,2021,62479,False,False
DV8 Infosystems,2020-01-01,https://dv8is.com,"Irvine, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Internet of Things",354801.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,31729,False,False
Entrada Ventures,2018-08-01,https://www.entradaventures.com,"Santa Barbara, California, United States","Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Exchanges, Financial Services",106385.0,"Entrada Ventures is a late seed stage fund that builds companies that succeed in Series Seed, A, and beyond. They work personally and intensely with a few companies each year helping them develop from a startup with product-market fit to a strong business ready for its first round of institutional financing. Investing in and working with strong founders who’ve demonstrated some traction, can significantly improve those companies’ ability to understand, manage, and scale their business and raise a tier-one Series A on great terms. Entrada Ventures is based in Santa Barbara, California, and invests across a broad range of innovative technologies.",11-50,,,,,,,5.0,11-50,Private,,,,,,6,2018,14007,False,False
Geosyn Mining,2021-01-01,https://geosynmining.com,"Springtown, Texas, United States","Blockchain and Cryptocurrency, Financial Services, Information Technology, Payments, Software","Bitcoin, Cryptocurrency, Information Technology",1063055.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,53023,False,False
CazVid,2020-01-01,https://cazvid.com,"Tempe, Arizona, United States","Apps, Media and Entertainment, Mobile, Professional Services, Software, Video","Mobile Apps, Recruiting, Social Recruiting, Video",508114.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,38206,False,False
iOiO.TV,2019-01-01,https://www.ioio.tv/,"New York, New York, United States","Information Technology, Software","Information Technology, Software",312672.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2019,29468,False,False
Somm Digital,2018-01-01,https://sommdigital.com,"Napa, California, United States","Advertising, Sales and Marketing","Advertising, Digital Marketing, Social Media Marketing",2789898.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,86190,False,False
Nominal,2018-01-22,https://nominalx.com/,"Tempe, Arizona, United States","Commerce and Shopping, Consumer Goods","Consumer Goods, E-Commerce, Jewelry, Retail",193086.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,21615,False,False
Rentathon,2019-06-17,https://rentathonapp.com,"Tampa, Florida, United States","Apps, Commerce and Shopping, Information Technology, Other, Software","Apps, E-Commerce, Information Technology, Peer to Peer, Rental",1125658.0,"Rentathon is a p2p renting platform that enables users to rent and rent out products. Rentathon was founded in 2019 by Ayush Pai, Alex Kranias, and Krish Asknani and was headquartered in Florida, USA.",1-10,,,,,,,3.0,1-10,Private,,,,,,6,2019,53695,False,False
bspoketv,2019-02-03,https://bspoketv.com,"Los Angeles, California, United States","Advertising, Media and Entertainment, Sales and Marketing, Video","Advertising, TV",119836.0,"bspoketv is a free ad-supported network that focuses on beauty, fashion, and lifestyle-driven programming.  The show content spans relationship advice to cooking to beauty tutorials. It is a cast with talent that has loyal and established audience followings.",1-10,2.0,Seed,2021-08-01,700000.0,Seed,1025000.0,1.0,1-10,Private,,,0.0,1.0,,0,2019,15466,False,False
CommerceOne Bank,2018-01-01,https://www.commerceonebank.com,"Birmingham, Alabama, United States","Financial Services, Lending and Investments, Payments, Software","Banking, Financial Services, Transaction Processing",345917.0,CommerceOne was founded on the principle that creating a meaningful connection between your banker and your needs is of paramount importance. Taking care of you means offering you a level of service that is virtually unheard of in the banking industry.,11-50,,,,,,,,11-50,Private,,,,,,6,2018,31274,False,False
Elite Trader Funding,2022-01-01,https://elitetraderfunding.com,"Wilmington, Delaware, United States","Financial Services, Lending and Investments","Financial Services, Funding Platform, Trading Platform",886826.0,,11-50,,,,,,,,11-50,Private,,,0.0,0.0,,6,2022,49560,False,False
Enara Law PLLC,2020-01-01,https://enaralaw.com,"Scottsdale, Arizona, United States",Professional Services,Legal,1631700.0,"Full service corporate and business law firm, providing exceptional results all for a flat fee, with no billable hours.",1-10,,,,,,,1.0,1-10,Private,,,0.0,2.0,,6,2020,64751,False,False
collaborationroom.ai,2020-01-01,https://collaborationroom.ai,"Sammamish, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Real Time, Software",307349.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,29156,False,False
Glavel,2018-01-01,https://www.glavel.com/,"Burlington, Vermont, United States","Manufacturing, Real Estate","Building Material, Industrial Manufacturing, Manufacturing",101512.0,"Glavel is a foam glass gravel manufacturer that allows it to be a preferred material across the built environment. Founded in 2018, Glavel is based in Burlington Vermont by Rob Conboy. Glavel’s foam glass gravel is manufactured in Essex Vermont, where 7,500 tons of recycled glass are transformed into foam glass annually. The plant is uniquely positioned in the United States, as it’s the only foam glass plant powered entirely by renewable energy, keeping Glavel’s embodied carbon footprint incredibly low.",11-50,1.0,Seed,2022-02-10,934468.0,Seed,934468.0,1.0,11-50,Private,,,0.0,1.0,,0,2018,13466,False,False
Highkey,2018-07-01,https://highkey.io,"Los Angeles, California, United States","Media and Entertainment, Other, Software","Consumer, Digital Entertainment, Software",389500.0,"Generation Z is struggling to discover and set up events because they don't use Facebook anymore. Highkey is an event platform for colleges and students which identifies the hottest parties and events on campus. It also allows students to create their own groups, connect with their friends and organize private events.",11-50,1.0,Seed,2019-12-19,,Seed,,2.0,11-50,Private,,,,,,2,2018,33374,False,False
Medituz Revenue Management,2019-01-01,https://medituz.com/,"Cedar Park, Texas, United States","Health Care, Information Technology, Payments, Software","Billing, CMS, Electronic Health Record (EHR), Enterprise Resource Planning (ERP), Health Care, Software",2193982.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,74945,False,False
TransientX,2019-06-01,https://www.transientx.com,"Hoboken, New Jersey, United States","Information Technology, Internet Services, Software","Information Technology, Internet, Software",334444.0,"TransientX offers a product that connects local apps on devices to its servers, using isolated overlay networks built for individual users. Devices managed or unmanaged, are never trusted or given direct access to corporate networks. Moreover, granular access control policies, visibility into app usage, and micro containers isolate trusted apps and provide connectivity independent of the underlying physical network topology.",11-50,,M&A,,,,,1.0,11-50,Private,,,,,,5,2019,30661,False,False
Accel Consulting Group,2018-01-01,https://www.accelconsultinggroup.com,"Kalispell, Montana, United States","Administrative Services, Other, Professional Services","Consulting, Project Management, Risk Management",1900434.0,"Accel Consulting Group provides system engineering, quality, process improvement, health, data analytics, risk management, program, and project management services. They provide research and development services for the government and technology industries.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,70335,False,False
Intale AI,2023-05-01,https://intale.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),665069.0,"Intale AI provides tools that power creative human potential. Our mission is to amplify creative expression through AI-driven storytelling. With our flagship product, TaleBot, we have transformed bedtime storytelling for busy parents. By harnessing the capabilities of AI, TaleBot generates personalized stories within minutes. Going forward, we believe AI will become an indispensable enabler of human creativity. From crafting immersive narratives to inspiring personalized stories, our goal is to empower individuals to unleash their creative potential. At Intale AI, our team consists of passionate technologists pushing the boundaries of AI-powered storytelling, collaborating with industry partners and creative professionals to foster innovation. Join us on this journey as we unlock the full potential of AI in enhancing creativity. Together, let's redefine storytelling and inspire a world where every individual's unique voice can be celebrated.",1-10,,,,,,,2.0,1-10,Private,,,,,,6,2023,43457,False,False
Tradetron,2019-01-01,https://tradetron.tech,"San Jose, California, United States","Commerce and Shopping, Financial Services, Lending and Investments, Science and Engineering, Software","Financial Services, Marketplace, Software Engineering, Trading Platform",164601.0,,1-10,,,,,,,1.0,1-10,Private,,,0.0,1.0,,6,2019,19437,False,False
California Medical Wellness,2019-01-01,https://www.californiamedicalweightlossandspa.com,"Cerritos, California, United States","Food and Beverage, Health Care, Sports","Fitness, Health Care, Nutrition, Wellness",1839027.0,"California Medical Wellness provides weight loss practices. They provide practice, and treatments include vitamins, minerals, nutrients, appetite suppressants, and lipotropic injections. Their supervised rapid medical weight loss programmed is for each individual and includes iv therapy, phentermine, phendimetrazine, cocktail therapy, glutathione, and vitamin C therapy.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,68453,False,False
BSCT,2018-01-01,https://bsct.us/,"Lowell, Massachusetts, United States","Design, Manufacturing","Manufacturing, Product Design",489644.0,"Bradford Industries & Shawsheen Coating and Converting. BSCT(Bradford Shawsheen Coating Technologies) is a fully integrated coating and converting manufacturing company producing top quality polymer coated fabrics, textiles and tape products.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,37533,False,False
Med Rush Clinical Lab,2021-01-01,https://www.medrushlab.com,"Des Plaines, Illinois, United States","Data and Analytics, Health Care","Health Care, Medical, Test and Measurement",1621991.0,,51-100,,,,,,,,51-100,Private,,,,,,6,2021,64941,False,False
Design By Committee,2021-01-01,https://designbycommittee.co,"Minneapolis, Minnesota, United States","Design, Sales and Marketing","Brand Marketing, Graphic Design, Product Design",459250.0,"Design By Committee is a full-service brand and identity agency that provides creative entrepreneurship for hire. The company was founded in 2021 and is currently based in Minnesota, United States.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2021,36338,False,False
Atama,2022-01-01,https://www.atama.co/,"Denver, Colorado, United States","Information Technology, Software","Developer APIs, Information Technology, SaaS, Software, Web Development",695558.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2022,44325,False,False
Ally Global Management,2019-01-01,https://www.ally-global.com,"New York, New York, United States","Financial Services, Real Estate","Financial Services, Real Estate, Real Estate Investment",527784.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2019,38947,False,False
Skills,2019-01-01,https://www.skills.tech/,"Berkeley, California, United States","Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software","Artificial Intelligence (AI), EdTech, Education",77739.0,AI EdTech,1-10,1.0,Seed,2022-03-05,575000.0,Pre-Seed,575000.0,,1-10,Private,,,,,,0,2019,10536,False,False
MIDOS Development Group,2020-01-01,https://midosdevelopment.com,"North Hollywood, California, United States","Other, Real Estate","Commercial, Construction, Property Development, Real Estate, Residential",1253353.0,"MIDOS Development Group is a multi-family developer, their internal construction resources, processes, personnel, and experience with the development allow them to build more efficiently, and more effectively, than many other developers.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,58023,False,False
Abode Care,2020-01-01,https://www.abodecare.com,"Brooklyn, New York, United States","Administrative Services, Health Care","Health Care, Housekeeping Service, Personal Health",2449272.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,80536,False,False
Melanie Casey Jewelry,2020-01-01,http://www.melaniecasey.com,"Andover, Massachusetts, United States",Consumer Goods,Jewelry,409324.0,"Melanie Casey is a professional jewelry artist, designer, and goldsmith. Our team is headquartered in Andover, Massachusetts, and we sell our designs worldwide through www.melaniecasey.com. We manufacture and sell directly to clients, without a middleman or retail markups.  Our focus is on quality, design, and social responsibility above all else.   Melanie’s designs are delicate and feminine, showcasing sparkling diamonds and 14k gold settings.  Our signature light and airy style can seen throughout the collection.  When designing an engagement ring, Melanie focuses on showcasing the diamond first and minimizing the distracting look of the setting.  Every element is intentional and designed thoughtfully.   Clients have described our pieces as ""the real deal"" and ""a true find in an industry that is filled with the same old stuff"".  To maintain the integrity of our collection, we only release pieces we deeply believe in and love.  Trending styles are not a focus because we want clients to love their engagement ring for 100 years and be proud to pass it down as an heirloom.",51-100,,,,,,,1.0,51-100,Private,,,0.0,1.0,,6,2020,34267,False,False
The Reef Group,2020-01-01,https://www.thereefgroup.com,"Huntington Beach, California, United States",Real Estate,"Commercial Real Estate, Property Management, Real Estate",2959353.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,88218,False,False
RingPlan,2018-01-01,https://ringplan.com,"Poway, California, United States","Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Messaging, Unified Communications, Video Conferencing",327326.0,"RingPlan manages their business with unified communications. From phone, video conferencing, text messaging, and digital fax; they will be able to communicate from on any device, using the same phone number, extension, caller ID, and voicemail.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,30282,False,False
Retirement Impact,2021-01-01,https://401kimpact.com,"Andover, Massachusetts, United States","Community and Lifestyle, Education, Financial Services, Media and Entertainment, Other","Advice, Education, Financial Services, Retirement",3080706.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2021,89501,False,False
PerfectEssayWriterAI,2023-01-01,https://www.perfectessaywriter.ai/,"New York, New York, United States",Education,Education,314236.0,"PerfectEssayWriter.ai is an AI-based essay writing tool designed to help students produce high-quality essays quickly and easily. The platform uses advanced algorithms to generate custom content based on the student's input, saving them valuable time and effort. With a wide range of tools and templates there is help available for students of all kinds. Say goodbye to the stress and frustration of essay writing and say hello to a new world of academic success with PerfectEssayWriter.ai.",51-100,,,,,,,,51-100,Private,,,,,,6,2023,29568,False,False
promokodik.net,2018-04-10,https://promokodik.net/,"Miami, Florida, United States",Commerce and Shopping,E-Commerce,3118079.0,"In our website you can find a big amount of different discounts and promo codes, from one of the most famous brands. We care about the quality of our promo codes that's why we always keep our data up to date, so you can enjoy our service. Also, we have a small step by step guide on how to use promocode in case it's your first time. So, do not hesitate to visit our website and try a new way of shopping with",51-100,,,,,,,,51-100,Private,,,,,,6,2018,90335,False,False
Paw Prosper,2022-01-01,https://pawprosper.com,"Aurora, Colorado, United States",Community and Lifestyle,Pet,468597.0,Paw Prosper is a pet health and wellness platform that aims to provide effective solutions to larger pet wellness issues.,11-50,,,,,,,,11-50,Private,,,,,,6,2022,36720,False,False
One Reason To Stay,2023-10-20,https://onereasontostay.com/,"New York, New York, United States","Other, Social Impact",Non Profit,1436000.0,"One Reason To Stay (ORTS) aims to spread only love and positivity and encourage one another to again remember just how precious life can be. We advance prevention efforts and help increase knowledge of suicide and depression through workshops and collaborations, and work together on a daily basis to ensure that, in the very end, we all see that life really is worth living.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2023,60728,False,False
Paus Everything,2021-12-31,https://www.pauseverything.com,"Port Orchard, Washington, United States","Content and Publishing, Media and Entertainment, Sales and Marketing","Content Marketing, Digital Marketing, Photography",2249653.0,"""Paus Everything"" is a digital marketing agency based in Washington. USA. Founded in 2021 by Nick Balera, they develop and craft brands’ narratives through creative, authentic and strategic content.Through the variety of services we offer, we hope to be the place you come for either that one-off project you’re looking for something special, or having us as you’re honorary creative + marketing team - walking with you as we dream up new ideas, set and reach growth goals and help share your brand’s message.  We don't believe in a one-size-fits-all approach, so we work with every client to develop a unique strategy, custom tailored to fit your business's needs.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2021,77444,False,False
Linen App,2018-01-01,https://linen.app,"San Francisco, California, United States","Apps, Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software","Apps, Blockchain, Cryptocurrency, Ethereum, Finance, Financial Services, Web3",51088.0,Linen Wallet is a signature Wallet for defi and web3. They support ethereum and polygon networks.,1-10,5.0,Seed,2021-06-30,,Seed,1020000.0,2.0,1-10,Private,,,,,,1,2018,6781,False,False
Referral Ease,2021-01-01,https://referralease.com,"Cheshire, Connecticut, United States","Health Care, Software","Health Care, Medical, Software",1056775.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2021,52867,False,False
ConvertMore,2021-01-01,https://convertmore.com/,"Lake Worth, Florida, United States",Software,Software,1964892.0,"Have you lately found yourself Googling the term 'how to increase sales on my website?' Then you are the perfect candidate for ConvertMore and our useful widget. With our callback service, you can manage to improve conversion rate and reduce bounce rate, all through connecting website visitors with your sales team. Don't hesitate to contact us, get a free demo, and decide whether to opt for our services.",1-10,,,,,,,,1-10,Private,,,,,,6,2021,70829,False,False
Grown In,2020-01-01,https://grownin.com/,"Chicago, Illinois, United States","Community and Lifestyle, Education, Events, Food and Beverage, Health Care, Media and Entertainment","Cannabis, Events, Training",2054314.0,"Grown In provides cannabis industry insights, events, and education through digital content, strategic networking, and online training to support professional success.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,72470,False,False
Around the Corner,2018-06-01,https://www.aroundthecorner.store,"Seattle, Washington, United States","Clothing and Apparel, Commerce and Shopping, Design","E-Commerce, Fashion, Marketplace",1700509.0,"Around the Corner is an online marketplace featuring local retailers and their inventory. Shoppers can download the app and discover local products from multiple local retailers all in one place. No need to go from store to store looking for something you might like. The benefits of local retailers, such as being able to see and touch items, getting expert advice and easy returns, are coupled with the convenience of online shopping.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,66518,False,False
Arab America,2022-01-01,http://www.arabamerica.com/,"Washington, District of Columbia, United States","Community and Lifestyle, Content and Publishing, Media and Entertainment, Music and Audio, Other, Social Impact","Association, Communities, Music, News, Non Profit",1848060.0,"Arab America is a national website founded with the purpose of promoting an accurate image about the Arab American community and the Arab world. With close to four million Arab Americans in the U.S., Arab America’s primary goal is to become a “bridge” bringing together the diverse Arab American community. Secondly, Arab America is an educational resource site for all Americans. Arab America’s mission is achieved through the dissemination of accurate information about Arab Americans and the Arab world providing: up to date events, the latest news, Arabic restaurants and ethnic grocery outlets, churches, mosques, cultural and social service organizations, commerce, and music. It is the intent of Arab America to be the leader in providing digital media to Arab Americans. - See more at: http://www.arabamerica.com/about/#sthash.aJK6Mg7Z.dpuf",11-50,,,,,,,,11-50,Private,,,,,,6,2022,69771,False,False
Advanced Screen Systems,2019-01-01,http://advancedscreensystemsinc.com,"Gilbert, Arizona, United States","Commerce and Shopping, Consumer Goods, Real Estate","Building Material, Furniture, Home Decor, Wholesale",2206374.0,"Advanced Screen Systems is a distributor of screens, fenestration, doors, windows, security, pet resistance, pet resistant, entry and sliding patio doors, window screens, pet resistant screens, security sliding patio doors, fall prevention window screens, and fall prevention.",11-50,,,,,,,,11-50,Private,,,0.0,1.0,,6,2019,74745,False,False
Kena AI,2019-09-01,https://kena.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software","Artificial Intelligence (AI), Marketplace, Music",78733.0,Kena's music creator marketplace redistributes wealth back to creators. Kena's 'music neural engine' is state-of-the-art. Its highly advanced Artificial Intelligence simplifies acoustical tasks for creators and accelerates learning for the practitioners.,1-10,1.0,Seed,2020-08-01,300000.0,Pre-Seed,300000.0,1.0,1-10,Private,,,,,,0,2019,10672,False,False
Burban Media,2018-01-01,http://www.burbanmedia.com	,"Houston, Texas, United States","Content and Publishing, Media and Entertainment","Digital Media, Media and Entertainment, News, Publishing",2720617.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,85693,False,False
YONY,2020-01-01,https://yony.com,"Los Angeles, California, United States","Clothing and Apparel, Commerce and Shopping, Design","E-Commerce, Fashion, Retail",464174.0,"YONY is an online fashion seller. Their products include a menswear brand that designs and produces clothing, retail apparel, and fashion. Their products are organic cotton flannel, organic cotton canvas yarn-dyed plaid flannel, wool herringbone, redcoat wool, and sustainable cotton fleece.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2020,36542,False,False
PJ's Roasted Bean Coffee Company,2018-01-01,https://www.pjsroastedbean.com/,"Clayton, California, United States","Commerce and Shopping, Food and Beverage","Coffee, Food and Beverage, Retail",2280667.0,"PJ's Roasted Bean Coffee provides a superior tasting, infrared roasted coffee experience, and a premium loose leaf signature tea experience. It was originated in 1989, whose knowledge, experience, vision, and a team of dedicated people have grown and matured over the years are excited to bring infrared roasted coffee to a wider market. It uses Infrared roasting, a unique and superior roasting technology that provides a fuller flavor. It allows them to stand out in a crowded field of coffee producers as it is estimated that only about 2% of all commercial coffee produced is infrared roasted. It was founded in 2018 and is headquartered in Clayton, California.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,78538,False,False
Triple A SEO,2022-09-05,https://www.tripleaseo.com/,"Orlando, Florida, United States",Sales and Marketing,Marketing,2490478.0,"is a Digital Marketing Agency in Orlando, FL providing SEO, PPC, Web Design, Local Map Listing and more to help businesses grow.",1-10,,,,,,,,1-10,Private,,,,,,6,2022,81443,False,False
Bildbord,2018-09-18,https://www.bildbord.com,"New York, New York, United States","Community and Lifestyle, Content and Publishing, Hardware, Internet Services, Media and Entertainment, Professional Services, Sales and Marketing, Software","Augmented Reality, Content Discovery, Marketing, Professional Networking, Social Media, Social Network",191637.0,"Bildbord is a new Social Network that removes the barriers and limitations. Our Unique AI driven system matches you with other users, growing your network and opening possibilities. We have removed the limitations of messaging and communication to allow you to connect through direct messaging and ads with 1 user or 1 Million users at a time. With our unique Augmented Reality interface you can connect with the real world, in real time and experience community, events and life in a whole new way!",1-10,1.0,Seed,2020-04-01,220000.0,Pre-Seed,220000.0,3.0,1-10,Private,,,,,,0,2018,21489,False,False
Secure Agent Marketing,2019-01-01,https://secureagentmarketing.com,"Springfield, Missouri, United States","Advertising, Design, Internet Services, Sales and Marketing","Advertising, Digital Marketing, SEO, Web Design",1301718.0,,101-250,,,,,,,,101-250,Private,,,,,,6,2019,58588,False,False
ATKPLN,2018-01-01,https://www.atkpln.com/,"Dallas, Texas, United States","Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Video","Advertising, Animation, Creative Agency, Video",2909544.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,87516,False,False
Lifetime Destinations,2020-01-01,https://lifetimedestinations.com,"Branson, Missouri, United States",Travel and Tourism,"Hospitality, Tourism, Travel",686669.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,44062,False,False
VisualStack,2019-02-01,https://visualstack.cloud,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Cloud Management, Information Technology, Machine Learning, Software",773816.0,"Reduce operational and cloud infrastructure costs , thanks to our artificial intelligence system that works 7x24 for your company. Our all in one platform is a secure multi-cloud management, which thanks to its artificial intelligence learns from its infrastructure, in learning mode proposes changes that increase performance, increase uptime (SLA) or reduce costs. At the same time it includes a reporting system, billing, inventory, tickets and monitoring all associated with your AI. VisualStack AI can auto manage tickets, apply solutions to problems that occur in your cloud infrastructure. In case of not being able to solve it, scale the tickets to an operator as set or to us if you have a VIP support package.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,46535,False,False
